GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014
0100000US,,United States,310M200US14010,14010,"United States - Bloomington, IL Metro Area","Bloomington, IL Metro Area",186133,186133,186421,187282,188910,191294,190345
0100000US,,United States,310M200US14020,14020,"United States - Bloomington, IN Metro Area","Bloomington, IN Metro Area",159549,159542,160107,161855,162652,163190,164308
0100000US,,United States,310M200US14100,14100,"United States - Bloomsburg-Berwick, PA Metro Area","Bloomsburg-Berwick, PA Metro Area",85562,85563,85656,85309,85415,85674,85763
0100000US,,United States,310M200US14260,14260,"United States - Boise City, ID Metro Area","Boise City, ID Metro Area",616561,616561,617923,627627,637651,650457,664422
0100000US,,United States,310M200US14460,14460,"United States - Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552412,4564659,4608848,4650668,4698049,4732161
0100000US,,United States,314M200US1446014454,1446014454,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Boston, MA Metro Division","Boston, MA Metro Division",1887792,1887745,1893820,1913683,1931329,1952438,1966530
0100000US,,United States,314M200US1446015764,1446015764,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Cambridge-Newton-Framingham, MA Metro Division","Cambridge-Newton-Framingham, MA Metro Division",2246244,2246301,2252330,2275221,2296955,2322224,2339406
0100000US,,United States,314M200US1446040484,1446040484,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Rockingham County-Strafford County, NH Metro Division","Rockingham County-Strafford County, NH Metro Division",418366,418366,418509,419944,422384,423387,426225
0100000US,,United States,310M200US14500,14500,"United States - Boulder, CO Metro Area","Boulder, CO Metro Area",294567,294571,295967,300650,305483,310396,313333
0100000US,,United States,310M200US14540,14540,"United States - Bowling Green, KY Metro Area","Bowling Green, KY Metro Area",158599,158599,159181,160504,162352,163841,165732
0100000US,,United States,310M200US14740,14740,"United States - Bremerton-Silverdale, WA Metro Area","Bremerton-Silverdale, WA Metro Area",251133,251133,251650,254372,254659,253205,254183
0100000US,,United States,310M200US14860,14860,"United States - Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916828,919506,928722,935290,942119,945438
0100000US,,United States,310M200US15180,15180,"United States - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",406220,406220,407672,413188,416048,418217,420392
0100000US,,United States,310M200US15260,15260,"United States - Brunswick, GA Metro Area","Brunswick, GA Metro Area",112370,112368,112574,113034,113437,114012,114806
0100000US,,United States,310M200US15380,15380,"United States - Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135541,1135342,1135411,1135067,1136153,1136360
0100000US,,United States,310M200US15500,15500,"United States - Burlington, NC Metro Area","Burlington, NC Metro Area",151131,151241,151551,152866,153672,154685,155792
0100000US,,United States,310M200US15540,15540,"United States - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",211261,211262,211508,212837,213874,215072,216167
0100000US,,United States,310M200US15680,15680,"United States - California-Lexington Park, MD Metro Area","California-Lexington Park, MD Metro Area",105151,105151,105740,107757,108999,109484,110382
0100000US,,United States,310M200US15940,15940,"United States - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",404422,404420,404202,403119,403404,403493,403923
0100000US,,United States,310M200US15980,15980,"United States - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",618754,618754,620521,631412,644988,661336,679513
0100000US,,United States,310M200US16020,16020,"United States - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",96275,96275,96421,97027,97235,97617,97929
0100000US,,United States,310M200US16060,16060,"United States - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",126575,126580,126819,127107,126984,127069,126685
0100000US,,United States,310M200US16180,16180,"United States - Carson City, NV Metro Area","Carson City, NV Metro Area",55274,55274,55260,54747,54578,54061,54522
0100000US,,United States,310M200US16220,16220,"United States - Casper, WY Metro Area","Casper, WY Metro Area",75450,75450,75466,76416,78686,81143,81624
0100000US,,United States,310M200US16300,16300,"United States - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",257940,257940,258360,260862,261686,262348,263885
0100000US,,United States,310M200US16540,16540,"United States - Chambersburg-Waynesboro, PA Metro Area","Chambersburg-Waynesboro, PA Metro Area",149618,149618,149908,151004,151589,152191,152892
0100000US,,United States,310M200US16580,16580,"United States - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",231891,231889,232250,233332,234514,236015,237252
0100000US,,United States,310M200US16620,16620,"United States - Charleston, WV Metro Area","Charleston, WV Metro Area",227078,227071,227000,225879,225800,224683,222878
0100000US,,United States,310M200US16700,16700,"United States - Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area",664607,664643,667724,681482,697435,712081,727689
0100000US,,United States,310M200US16740,16740,"United States - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2217248,2223894,2257149,2295879,2337339,2380314
0100000US,,United States,310M200US16820,16820,"United States - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",218705,218710,219076,221339,223151,224778,226968
0100000US,,United States,310M200US16860,16860,"United States - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",528143,528145,529103,533162,537997,542161,544559
0100000US,,United States,310M200US16940,16940,"United States - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",91738,91881,92199,92607,94849,96015,96389
0100000US,,United States,310M200US16980,16980,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461537,9470069,9493464,9519316,9544796,9554598
0100000US,,United States,314M200US1698016974,1698016974,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Chicago-Naperville-Arlington Heights, IL Metro Division","Chicago-Naperville-Arlington Heights, IL Metro Division",7262718,7263140,7269907,7293395,7317530,7338906,7343641
0100000US,,United States,314M200US1698020994,1698020994,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Elgin, IL Metro Division","Elgin, IL Metro Division",620429,620462,621139,624443,626536,629079,632768
0100000US,,United States,314M200US1698023844,1698023844,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Gary, IN Metro Division","Gary, IN Metro Division",708070,708100,708305,707793,706385,705290,704935
0100000US,,United States,314M200US1698029404,1698029404,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Lake County-Kenosha County, IL-WI Metro Division","Lake County-Kenosha County, IL-WI Metro Division",869888,869835,870718,867833,868865,871521,873254
0100000US,,United States,310M200US17020,17020,"United States - Chico, CA Metro Area","Chico, CA Metro Area",220000,220000,219924,220025,221279,222420,224241
0100000US,,United States,310M200US17140,17140,"United States - Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2114580,2114755,2117863,2123332,2129786,2138536,2149449
0100000US,,United States,310M200US17300,17300,"United States - Clarksville, TN-KY Metro Area","Clarksville, TN-KY Metro Area",260625,260610,261814,264611,275522,273453,278353
0100000US,,United States,310M200US17420,17420,"United States - Cleveland, TN Metro Area","Cleveland, TN Metro Area",115788,115788,115965,116657,117730,118537,119705
0100000US,,United States,310M200US17460,17460,"United States - Cleveland-Elyria, OH Metro Area","Cleveland-Elyria, OH Metro Area",2077240,2077246,2075558,2068399,2064570,2065328,2063598
0100000US,,United States,310M200US17660,17660,"United States - Coeur d'Alene, ID Metro Area","Coeur d'Alene, ID Metro Area",138494,138494,138890,141045,142297,144357,147326
0100000US,,United States,310M200US17780,17780,"United States - College Station-Bryan, TX Metro Area","College Station-Bryan, TX Metro Area",228660,228660,229478,231578,234373,238245,242905
0100000US,,United States,310M200US17820,17820,"United States - Colorado Springs, CO Metro Area","Colorado Springs, CO Metro Area",645613,645611,650351,660278,669100,678711,686908
0100000US,,United States,310M200US17860,17860,"United States - Columbia, MO Metro Area","Columbia, MO Metro Area",162642,162642,163182,165922,168592,170929,172717
0100000US,,United States,310M200US17900,17900,"United States - Columbia, SC Metro Area","Columbia, SC Metro Area",767598,767477,769661,776630,784279,792422,800495
0100000US,,United States,310M200US17980,17980,"United States - Columbus, GA-AL Metro Area","Columbus, GA-AL Metro Area",294865,295529,296454,302513,311711,317126,314005
0100000US,,United States,310M200US18020,18020,"United States - Columbus, IN Metro Area","Columbus, IN Metro Area",76794,76786,76848,77621,78903,79549,80217
